Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN
 Bullet tournament ,mistrzdzow,Nourmaz,0-1,2016.06.30,22:00:02,1847,1852,-12,12,B06,Modern Defense,60+0,Time forfeit,1. e4 g6 2. d3 Bg7 3. c4 b6 4. Nc3 Bb7 5. Nd5 d6 6. Ne3 Nd7 7. Nf3 e5 8. Bd2 Ne7 9. Nd5 O-O 10. Nxe7+ Qxe7 11. Bg5 f6 12. Be3 Nc5 13. Be2 Rad8 14. Qd2 c6 15. Bh6 d5 16. Bxg7 Kxg7 17. cxd5 cxd5 18. exd5 Bxd5 19. O-O e4 20. dxe4 Nxe4 21. Qe3 Qb7 22. Nd4 Nc5 23. Bb5 Rde8 24. Qg3 Re5 25. Nb3 Ne4 26. Qh3 Rg5 27. g3 Nd6 28. Be2 Nc4 29. Bxc4 Bxc4 30. Rfe1 Qf3 31. Qg2 Qg4 32. Nd2 Bd5 33. f3 Qd4+ 34. Kh1 Re5 35. Ne4 Bxe4 36. Rxe4 Rxe4 37. fxe4 Re8 38. Re1 Re5 39. h4 f5 40. h5 Rxe4 41. h6+ Kxh6 42. Qh2+ Kg7 43. Rxe4 Qxe4+ 44. Qg2 Qxg2+ 45. Kxg2 g5 46. Kf3 h5 47. b3 Kg6 48. a3 h4 49. gxh4 gxh4 50. Kg2 Kg5 51. a4 Kg4 52. b4 f4 53. a5 bxa5 54. bxa5 f3+ 55. Kf2 Kf4 56. Kg1 h3 57. Kf2 Ke4 58. Kg1 Ke3 59. Kh2 Ke2 0-1
 Classical tournament ,delsonimuka,jandy,0-1,2016.06.30,22:00:02,1332,1392,-12,9,B07,King's Pawn Game: Maroczy Defense,600+0,Normal,1. e4 e5 2. d4 d6 3. Nc3 Nc6 4. Nf3 Nf6 5. Bd3 Bg4 6. Be2 Be7 7. Qd3 O-O 8. Bd2 Re8 9. Nd5 Nxd5 10. exd5 Nxd4 11. Nxd4 Bxe2 12. Nxe2 Bh4 13. Be3 Qf6 14. O-O-O c5 15. Qb3 Bg5 16. Bxg5 Qxg5+ 17. Kb1 Qxg2 18. Rhg1 Qxf2 19. Rde1 Qxh2 20. Qxb7 Qh6 21. Qb3 Qd2 22. Qg3 g6 23. Rh1 Rab8 24. Rhf1 Rb7 25. Rf3 Reb8 26. Nc1 Rxb2+ 27. Ka1 Qxc2 28. Rf2 Qb1# 0-1
 Blitz tournament ,MiKoS89,Cian,1/2-1/2,2016.06.30,22:00:02,1465,1436,-1,1,C45,"Scotch Game: Scotch Gambit, Kingside Variation",300+0,Normal,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. e5 Ng4 6. Ng5 Ngxe5 7. Bb3 Be7 8. Nxf7 Nxf7 9. Bxf7+ Kxf7 10. Qf3+ Kg8 11. O-O d6 12. c3 dxc3 13. Nxc3 Qf8 14. Qg3 Bf5 15. Re1 Bg6 16. Nd5 Re8 17. Nxc7 Bh4 18. Rxe8 Bxg3 19. Rxf8+ Kxf8 20. fxg3 Ke7 21. Bf4 a6 22. Re1+ Kd7 23. Nd5 Bf7 24. Nb6+ Kc7 25. Na4 Bxa2 26. Rd1 Rd8 27. Nc3 Bb3 28. Rd2 g6 29. Ne4 Rd7 30. Bxd6+ Kc8 31. Nc5 Rd8 32. Nxb3 b5 33. Bf4 Rxd2 34. Nxd2 a5 35. Kf2 a4 36. Ke3 b4 37. Kd3 a3 38. bxa3 bxa3 39. Nb3 a2 40. Kc2 Nb4+ 41. Kb2 Nd3+ 42. Kxa2 Nxf4 43. gxf4 Kd7 44. Kb2 Ke6 45. Kc2 Kf5 46. Kd2 Kxf4 47. Ke2 Kg4 48. g3 h5 49. Kf2 g5 50. Nd4 h4 51. Ne6 hxg3+ 52. hxg3 Kh5 53. Ng7+ Kg4 54. Kg2 1/2-1/2
 Classical tournament ,arjan1967,teo77,0-1,2016.06.30,22:00:02,1787,1779,-12,12,D00,Queen's Pawn Game: Stonewall Attack,600+0,Normal,1. d4 Nf6 2. e3 d5 3. Bd3 c5 4. c4 Nc6 5. Nc3 e6 6. cxd5 exd5 7. dxc5 Bxc5 8. Nge2 Be6 9. O-O O-O 10. a3 a5 11. Qc2 Ng4 12. Nf4 Qh4 13. h3 Nge5 14. Ncxd5 Bxd5 15. Qxc5 Bxg2 16. Nxg2 Nf3+ 0-1
 Blitz tournament ,chm00002,jan666,1-0,2016.06.30,22:00:02,1761,1754,12,-12,C30,"King's Gambit Declined, Queen's Knight Defense",180+0,Time forfeit,1. e4 { [%eval 0.27] } 1... e5 { [%eval 0.27] } 2. f4?! { [%eval -0.26] } 2... Nc6?! { [%eval 0.34] } 3. fxe5?? { [%eval -4.91] } 3... Nxe5?? { [%eval 0.59] } 4. Nf3?! { [%eval 0.03] } 4... d6?! { [%eval 0.76] } 5. Nxe5? { [%eval -1.06] } 5... dxe5?! { [%eval -0.32] } 6. Qf3 { [%eval -0.23] } 6... Bd6 { [%eval 0.0] } 7. Bc4 { [%eval -0.15] } 7... Qe7 { [%eval 0.24] } 8. Nc3 { [%eval 0.27] } 8... Nf6 { [%eval 0.38] } 9. Nd5?! { [%eval -0.26] } 9... Nxd5 { [%eval -0.32] } 10. Bxd5 { [%eval -0.28] } 10... c6 { [%eval -0.25] } 11. Bc4 { [%eval -0.5] } 11... Be6 { [%eval -0.12] } 12. Bb3 { [%eval -0.4] } 12... Qd7 { [%eval -0.03] } 13. O-O { [%eval -0.34] } 13... Bxb3 { [%eval -0.27] } 14. axb3 { [%eval -0.23] } 14... f6 { [%eval -0.12] } 15. Qh5+ { [%eval -0.25] } 15... Qf7 { [%eval -0.27] } 16. Qg4 { [%eval -0.29] } 16... h5 { [%eval -0.24] } 17. Qf5 { [%eval -0.24] } 17... Be7 { [%eval 0.07] } 18. Ra4?! { [%eval -0.54] } 18... g6?! { [%eval 0.21] } 19. Qf3 { [%eval -0.21] } 19... Qe6 { [%eval 0.07] } 20. d4?! { [%eval -0.68] } 20... b5?! { [%eval 0.02] } 21. Ra6 { [%eval 0.0] } 21... g5? { [%eval 2.17] } 22. d5 { [%eval 1.81] } 22... Bc5+?? { [%eval 4.87] } 23. Kh1 { [%eval 4.35] } 23... Qd7?? { [%eval 14.38] } 24. Rxc6?? { [%eval 4.72] } 24... Rc8?? { [%eval #14] } 25. Rxc8+?? { [%eval 5.53] } 25... Qxc8 { [%eval 5.42] } 26. Qxf6 { [%eval 5.0] } 26... Rf8 { [%eval 5.7] } 27. Qxe5+ { [%eval 5.58] } 27... Kd8?? { [%eval #7] } 28. Bxg5+ { [%eval #6] } 28... Kd7 { [%eval #6] } 29. Qe6+?! { [%eval 10.56] } 29... Kc7 { [%eval 10.3] } 30. Qc6+ { [%eval 9.89] } 30... Kb8 { [%eval 9.52] } 31. Qxb5+?? { [%eval 6.34] } 1-0
 Blitz tournament ,Damianlamy,BaderBombs,1-0,2016.06.30,22:00:02,2134,2128,12,-11,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation",300+0,Normal,1. e4 { [%eval 0.31] } 1... c5 { [%eval 0.37] } 2. Nf3 { [%eval 0.24] } 2... e6 { [%eval 0.34] } 3. d4 { [%eval 0.17] } 3... cxd4 { [%eval 0.14] } 4. c3 { [%eval -0.17] } 4... dxc3 { [%eval 0.05] } 5. Nxc3 { [%eval -0.15] } 5... a6 { [%eval 0.0] } 6. Bc4 { [%eval -0.03] } 6... Qc7 { [%eval 0.01] } 7. Bb3 { [%eval 0.04] } 7... Nc6 { [%eval -0.15] } 8. O-O { [%eval -0.02] } 8... Nge7 { [%eval 0.41] } 9. Be3 { [%eval 0.26] } 9... Ng6 { [%eval 0.26] } 10. Rc1 { [%eval 0.0] } 10... Be7 { [%eval -0.02] } 11. Nd5 { [%eval -0.22] } 11... exd5 { [%eval -0.19] } 12. exd5 { [%eval -0.18] } 12... O-O { [%eval -0.25] } 13. dxc6 { [%eval -0.53] } 13... dxc6 { [%eval -0.53] } 14. Qc2 { [%eval -0.6] } 14... Bf6 { [%eval -0.46] } 15. Ng5 { [%eval -0.61] } 15... Bd7 { [%eval -0.35] } 16. h4 { [%eval -0.32] } 16... Bxg5 { [%eval -0.4] } 17. Bxg5 { [%eval -0.39] } 17... Rfe8 { [%eval -0.39] } 18. h5?! { [%eval -1.04] } 18... Nf4 { [%eval -1.02] } 19. Rce1? { [%eval -3.11] } 19... Ne6?? { [%eval -0.1] } 20. Bh4?! { [%eval -0.95] } 20... h6?! { [%eval -0.01] } 21. Bg3 { [%eval -0.07] } 21... Qb6 { [%eval 0.0] } 22. Rd1?! { [%eval -0.58] } 22... Nd4 { [%eval -0.37] } 23. Bxf7+ { [%eval -0.43] } 23... Kxf7 { [%eval -0.37] } 24. Qc4+ { [%eval -0.35] } 24... Be6 { [%eval -0.39] } 25. Qxd4 { [%eval -0.43] } 25... Qxd4 { [%eval -0.41] } 26. Rxd4 { [%eval -0.34] } 26... Bxa2 { [%eval -0.4] } 27. Rfd1 { [%eval -0.45] } 27... Re7 { [%eval -0.18] } 28. Bd6 { [%eval -0.45] } 28... Rd7 { [%eval -0.51] } 29. Bc5 { [%eval -0.49] } 29... Bd5 { [%eval -0.48] } 30. Rf4+ { [%eval -0.51] } 30... Kg8 { [%eval -0.5] } 31. Re1 { [%eval -0.59] } 31... Rad8 { [%eval -0.34] } 32. Bb6 { [%eval -0.38] } 32... Rf8 { [%eval -0.41] } 33. Rxf8+ { [%eval -0.4] } 33... Kxf8 { [%eval -0.39] } 34. Bc5+ { [%eval -0.62] } 34... Kf7 { [%eval -0.59] } 35. Re3 { [%eval -0.93] } 35... Kf6?! { [%eval -0.36] } 36. Rg3 { [%eval -0.36] } 36... Be4 { [%eval -0.36] } 37. Bb4 { [%eval -0.36] } 37... g5 { [%eval -0.34] } 38. hxg6 { [%eval -0.36] } 38... Bxg6 { [%eval -0.37] } 39. Bc3+ { [%eval -0.33] } 39... Kf7 { [%eval -0.32] } 40. Rf3+ { [%eval -0.33] } 40... Kg8 { [%eval 0.0] } 41. Rf6 { [%eval 0.0] } 41... Kh7 { [%eval -0.07] } 42. Rf8 { [%eval -0.27] } 42... Bd3 { [%eval 0.0] } 43. f4 { [%eval 0.0] } 43... Kg6 { [%eval 0.25] } 44. g4 { [%eval 0.29] } 44... Rd5 { [%eval 0.63] } 45. Rf6+ { [%eval 0.8] } 45... Kh7 { [%eval 0.66] } 46. f5 { [%eval 0.52] } 46... Rd7? { [%eval 3.26] } 47. Rf8 { [%eval 3.19] } 47... Rg7 { [%eval 3.16] } 48. Bxg7 { [%eval 3.12] } 48... Kxg7 { [%eval 2.85] } 49. Rb8? { [%eval 1.73] } 49... b5? { [%eval 3.43] } 50. Rb6 { [%eval 3.14] } 50... c5?! { [%eval 3.77] } 51. Rxa6 { [%eval 3.73] } 51... c4?! { [%eval 4.64] } 52. Rb6 { [%eval 4.51] } 52... c3? { [%eval 6.19] } 53. bxc3 { [%eval 5.13] } 53... h5? { [%eval 7.15] } 54. gxh5 { [%eval 7.08] } 54... Bxf5 { [%eval 7.08] } 55. Rxb5 { [%eval 6.27] } 55... Bg4?? { [%eval #11] } 56. Rg5+ { [%eval #10] } 1-0
 Bullet tournament ,jjj333,aldoelapache,1-0,2016.06.30,22:00:02,1964,1970,11,-12,B00,Owen Defense,60+0,Time forfeit,1. e4 { [%eval 0.27] } 1... b6 { [%eval 0.51] } 2. Nf3 { [%eval 0.34] } 2... Bb7 { [%eval 0.41] } 3. e5 { [%eval 0.37] } 3... d6 { [%eval 0.36] } 4. d4 { [%eval 0.27] } 4... dxe5 { [%eval 0.5] } 5. Nxe5 { [%eval 0.41] } 5... Nd7?! { [%eval 1.1] } 6. Bf4?! { [%eval 0.23] } 6... Nxe5 { [%eval 0.19] } 7. Bxe5 { [%eval 0.24] } 7... f6 { [%eval 0.33] } 8. Bg3 { [%eval 0.12] } 8... e6 { [%eval 0.17] } 9. c3 { [%eval 0.02] } 9... Ne7 { [%eval 0.0] } 10. Nd2 { [%eval -0.03] } 10... Nf5 { [%eval 0.24] } 11. Nf3 { [%eval 0.17] } 11... Nxg3 { [%eval 0.38] } 12. hxg3 { [%eval 0.34] } 12... Bd6 { [%eval 0.81] } 13. Bd3 { [%eval 0.67] } 13... h6 { [%eval 0.98] } 14. Bg6+ { [%eval 0.96] } 14... Kd7 { [%eval 0.87] } 15. Qd3 { [%eval 0.62] } 15... Qe7?! { [%eval 1.23] } 16. Qb5+?! { [%eval 0.55] } 16... Bc6 { [%eval 0.58] } 17. Qc4 { [%eval 0.56] } 17... Bd5 { [%eval 0.49] } 18. Qd3 { [%eval 0.22] } 18... f5 { [%eval 0.15] } 19. c4?! { [%eval -0.5] } 19... Bb7? { [%eval 1.96] } 20. Ne5+? { [%eval -0.78] } 20... Kc8 { [%eval -0.75] } 21. O-O-O? { [%eval -3.25] } 1-0
 Classical ,dvs15lsa,xrap35,1-0,2016.06.30,22:00:03,1635,1572,9,-10,C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",300+8,Normal,1. e4 e5 2. Bc4 Nc6 3. Nf3 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Nxe4 7. dxc5 Qe7 8. O-O Nxc5 9. Bg5 f6 10. Re1 Ne5 11. Nxe5 Rf8 12. Nxd7 Nxd7 13. Rxe7+ Kxe7 14. Qe1+ Kd8 15. Bf4 Re8 16. Qc3 Nc5 17. Bf7 Ne4 18. Qxc7# 1-0
 Blitz ,kaukcz,narfito,1-0,2016.06.30,22:00:03,1287,1223,9,-19,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",240+3,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3 d6 5. O-O Bg4 6. Nc3 Bxf3 7. Qxf3 Nd4 8. Qd1 Be7 9. Nd5 Nxd5 10. Bxd5 Nb5 11. Qf3 c6 12. Qxf7+ Kd7 13. Qe6+ Ke8 14. Qf7+ Kd7 15. Be6+ Kc7 16. Qxg7 d5 17. exd5 cxd5 18. Bxd5 Qxd5 19. Qxe7+ Kb6 20. c4 Qxd3 21. cxb5 Qxb5 22. Qe6+ Kc7 23. Qe7+ Kb6 24. Be3+ Kc6 25. Qe6+ Kc7 26. Rac1+ Kd8 27. Rfd1+ Qd7 28. Qxd7# 1-0
 Classical tournament ,darmes,damian816,1-0,2016.06.30,22:00:02,1563,1553,12,-11,C22,Center Game: Paulsen Attack Variation,600+0,Normal,1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 d6 5. Bb5 Ne7 6. Nf3 Bd7 7. e5 dxe5 8. Nxe5 Nxe5 9. Bxd7+ Qxd7 10. Qxe5 Qf5 11. Qxf5 Nxf5 12. O-O Bc5 13. Re1+ Ne7 14. Be3 Bd6 15. Nc3 O-O 16. Nb5 1-0
 Classical tournament ,laremonde,mikedeanbarlow,0-1,2016.06.30,22:00:02,1948,2033,-9,10,B53,Sicilian Defense: Chekhover Variation,600+0,Normal,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Qxd4 Nf6 5. e5 Nc6 6. Bb5 Ng4 7. exd6 Qxd6 8. Qxd6 exd6 9. O-O Be7 10. Re1 Be6 11. Nd4 Kd7 12. Nc3 a6 13. Nxe6 fxe6 14. Bc4 Nge5 15. Bf1 Nd4 16. Bd3 Nxd3 17. cxd3 Nc2 0-1
 Blitz ,tb,FernandoED,0-1,2016.06.30,22:00:03,1578,1576,-11,11,A00,Van't Kruijs Opening,300+0,Normal,1. e3 Nc6 2. b3 Nf6 3. Bb2 d5 4. g3 Bf5 5. Bg2 Nb4 6. c3 Nd3+ 7. Kf1 Nxb2 8. Qc1 Nd3 9. Qa3 Ne4 10. f3 Nec5 11. b4 Na6 12. Ne2 e6 13. Nd4 Bg6 14. Qa4+ c6 15. Nxc6 bxc6 16. Qxa6 Ne5 17. f4 Bd3+ 18. Kf2 Bxa6 0-1
 Classical ,Yose_Luiz,rafaelvega,0-1,2016.06.30,22:00:04,1547,1618,-9,9,C46,Four Knights Game: Italian Variation,1200+1,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bb4 5. Qe2 Bxc3 6. bxc3 O-O 7. d3 d6 8. Bb2 Bg4 9. O-O Nh5 10. h3 Nf4 11. Qe3 Bxf3 12. Qxf3 Qg5 13. g4 Qh4 14. Kh2 Ne7 15. Bc1 Neg6 16. Bxf4 exf4 17. Bd5 c6 18. Bb3 Rae8 19. Rae1 d5 20. Ba4 b5 21. Bb3 dxe4 22. dxe4 c5 23. a4 c4 24. Ba2 a6 25. axb5 axb5 26. Rd1 Ne5 27. Rd5 Nxf3+ 0-1
 Blitz ,slava1987i,zazpiak_1,0-1,2016.06.30,22:00:05,1841,1795,-12,12,C41,Philidor Defense #2,180+0,Normal,1. e4 e5 2. Nf3 d6 3. Nc3 Bg4 4. Be2 Bxf3 5. Bxf3 Nf6 6. d4 Nc6 7. dxe5 Nxe5 8. O-O Be7 9. Bf4 Nc4 10. b3 Ne5 11. Nd5 Nxd5 12. Qxd5 Nxf3+ 13. gxf3 O-O 14. Kh1 h6 15. Rg1 Bg5 16. Bxg5 hxg5 17. Rxg5 Qf6 18. Rag1 Qxf3+ 19. R1g2 Rae8 20. Rxg7+ Kh8 21. Qh5+ Qxh5 0-1
 Bullet ,LarsBrobakken,Domcef,1-0,2016.06.30,22:00:05,1959,1690,4,-4,D78,"Neo-Gruenfeld Defense: Classical Variation, Original Defense",60+1,Normal,1. d4 Nf6 2. Nf3 g6 3. c4 Bg7 4. g3 c6 5. Bg2 d5 6. O-O O-O 7. Nc3 dxc4 8. e4 b5 9. a3 Bb7 10. e5 Nd5 11. Ne4 f6 12. Nc5 Bc8 13. e6 Na6 14. Re1 Nxc5 15. dxc5 Qc7 16. Nd4 f5 17. Nxb5 cxb5 18. Qxd5 Bb7 19. Qxb7 Qxc5 20. Be3 Qe5 21. Qxa8 Rxa8 22. Bxa8 Qxb2 23. Rad1 h5 24. Bg5 Qxa3 25. Rd7 Bf6 26. Bxf6 exf6 27. e7 Qxe7 28. Rexe7 c3 29. Re8# 1-0
 Blitz tournament ,remchene,skeith73,1-0,2016.06.30,22:00:05,1894,1655,4,-5,B12,"Caro-Kann Defense: Advance Variation, Short Variation",300+0,Normal,1. e4 c6 2. Nf3 d5 3. e5 Bf5 4. d4 e6 5. Bd3 Ne7 6. O-O Nd7 7. c3 b6 8. Bg5 h6 9. Bxe7 Bxe7 10. Bxf5 exf5 11. Re1 g6 12. e6 Nf6 13. exf7+ Kxf7 14. Ne5+ Kg7 15. Nxc6 1-0
 Blitz tournament ,dpco,yisus007,1-0,2016.06.30,22:00:05,1782,1517,4,-5,A45,Indian Game,180+0,Time forfeit,1. d4 Nf6 2. Nc3 e6 3. e4 Bb4 4. e5 Bxc3+ 5. bxc3 Nd5 6. Bd3 Nxc3 7. Qd2 Nd5 8. Nf3 Nc6 9. Qe2 O-O 10. Ng5 g6 11. Qf3 Ncb4 12. Be4 d6 13. O-O dxe5 14. Qh3 h5 15. g4 Kg7 16. gxh5 gxh5 17. Qxh5 Rh8 18. Nxe6+ Bxe6 19. Qxe5+ Kg8 20. Bg5 Qf8 21. Bxd5 Nxd5 22. c4 Nb6 23. d5 Bh3 24. Bf6 Rh6 25. Qg3+ Kh7 26. Rfe1 Nxc4 27. Qd3+ Kg8 28. Qxc4 Bd7 29. Be5 Rg6+ 30. Bg3 Qg7 31. Qf4 f5 32. d6 cxd6 33. Rad1 1-0
 Blitz tournament ,otger,gmvladimir,0-1,2016.06.30,22:00:02,1515,1540,-11,10,C42,Petrov's Defense,300+0,Normal,1. e4 { [%eval 0.22] } 1... e5 { [%eval 0.25] } 2. Nf3 { [%eval 0.27] } 2... Nf6 { [%eval 0.34] } 3. c4?! { [%eval -0.37] } 3... d6 { [%eval 0.03] } 4. d3 { [%eval 0.04] } 4... c6 { [%eval 0.1] } 5. Nc3 { [%eval 0.09] } 5... Nbd7 { [%eval 0.38] } 6. Be3 { [%eval 0.33] } 6... Be7 { [%eval 0.41] } 7. Be2 { [%eval 0.43] } 7... O-O { [%eval 0.47] } 8. O-O { [%eval 0.41] } 8... b6 { [%eval 0.55] } 9. b4?! { [%eval 0.0] } 9... Bb7 { [%eval 0.38] } 10. d4?! { [%eval -0.38] } 10... exd4 { [%eval -0.06] } 11. Nxd4 { [%eval 0.0] } 11... d5 { [%eval 0.41] } 12. cxd5 { [%eval 0.42] } 12... cxd5 { [%eval 0.35] } 13. exd5 { [%eval 0.01] } 13... Nxd5 { [%eval 0.35] } 14. Nxd5 { [%eval 0.23] } 14... Bxd5 { [%eval 0.3] } 15. Bf3 { [%eval -0.02] } 15... Bxf3 { [%eval 0.03] } 16. Qxf3 { [%eval 0.05] } 16... Bxb4? { [%eval 2.67] } 17. Rfd1?? { [%eval -0.41] } 17... Qf6 { [%eval -0.3] } 18. Qe4?! { [%eval -0.85] } 18... Rae8?! { [%eval -0.13] } 19. Qd5 { [%eval -0.54] } 19... Bc5?? { [%eval 2.66] } 20. Qxd7 { [%eval 2.68] } 20... Rd8 { [%eval 2.52] } 21. Qg4? { [%eval 1.48] } 21... h5 { [%eval 1.43] } 22. Qe4 { [%eval 1.18] } 22... Rfe8 { [%eval 1.1] } 23. Qd3? { [%eval -0.2] } 23... Bxd4 { [%eval -0.19] } 24. Qa6?? { [%eval -7.98] } 24... Bxa1 { [%eval -7.71] } 25. Rxa1? { [%eval #-8] } 25... Qxa1+ { [%eval #-7] } 26. Qf1 { [%eval #-7] } 26... Rd1 { [%eval #-6] } 0-1
 Bullet ,abner93rubiks,ZayZay,1-0,2016.06.30,22:00:05,1332,1326,10,-18,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0+2,Time forfeit,1. e4 c5 2. Nf3 Nc6 3. Bb5 d6 4. Bxc6+ bxc6 5. Nc3 e6 6. d3 Bb7 7. h3 Ne7 8. O-O g6 9. Bg5 Bg7 10. a3 O-O 11. Rb1 Qd7 12. Ne2 Nc8 13. Bd2 Nb6 14. Bc3 d5 15. Bxg7 Kxg7 16. e5 c4 17. d4 Na4 18. c3 c5 19. Qd2 cxd4 20. Qxd4 f6 21. exf6+ Rxf6 22. Ng3 Kf7 23. Qd1 Kg7 24. Re1 Raf8 25. Ne5 Qd6 26. f3 1-0
 Blitz ,Sakoc,georgereeves,1-0,2016.06.30,22:00:05,1644,1615,10,-10,A01,Nimzo-Larsen Attack: Classical Variation,180+0,Normal,1. b3 d5 2. Bb2 e6 3. e3 Nf6 4. f4 Be7 5. Nf3 O-O 6. d3 Nc6 7. h3 Bd7 8. g4 h6 9. Rg1 Nh7 10. Nbd2 Bf6 11. d4 Bh4+ 12. Ke2 Qf6 13. Ne5 Nxe5 14. dxe5 Qe7 15. Nf3 Bb5+ 16. Kd2 Qc5 17. Bxb5 Qxb5 18. Kc1 Be7 19. f5 f6 20. fxe6 Qb6 21. exf6 Bxf6 22. Bxf6 Nxf6 23. e7 Rfe8 24. Re1 Ne4 25. g5 Rxe7 26. gxh6 g6 27. Nd4 c6 28. Rg1 Kh7 29. Qg4 Rg8 30. Kb2 Nf2 31. Qh4 Ne4 32. Qxe7+ Kh8 33. h7 Ra8 34. Rxg6 Qd8 35. Qg7# 1-0
 Blitz ,Blique,rashidbishop,1-0,2016.06.30,22:00:05,1920,1858,9,-9,A22,"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon",300+0,Normal,1. c4 e5 2. Nc3 Nf6 3. g3 d5 4. Bg2 d4 5. Ne4 Nxe4 6. Bxe4 f5 7. Bg2 e4 8. d3 Qe7 9. Nh3 Nc6 10. Bd2 e3 11. fxe3 dxe3 12. Bc3 h6 13. Nf4 Be6 14. Ng6 Qg5 15. Nxh8 O-O-O 16. Bxc6 bxc6 17. Qa4 Kb7 18. O-O-O Bc5 19. d4 Bf8 20. c5 Bd5 21. Qb4+ Ka8 22. Rhf1 Rb8 23. Qa5 Qe7 24. Ng6 Qd7 25. Nxf8 Rxf8 26. Rd3 Qe7 27. Be1 g6 28. Ra3 Kb8 29. Qxa7+ Kc8 30. Qa6+ Kd7 31. Qd3 Be4 32. Qxe3 Rb8 33. g4 Qe6 34. gxf5 gxf5 35. h4 Qc4+ 36. Bc3 Re8 37. Rg1 Re7 38. Ra7 Bd5 39. Rxc7+ Kxc7 40. Qxe7+ 1-0
 Blitz ,Portolu,malvolio,0-1,2016.06.30,22:00:06,1971,2198,-5,4,C68,Ruy Lopez: Exchange Variation,300+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. Be3 Be6 7. O-O Qd7 8. Nbd2 O-O-O 9. h3 g5 10. Bxg5 fxg5 11. Nxg5 Be7 12. Nxe6 Qxe6 13. Nf3 Nh6 14. Nh2 Rhg8 15. Kh1 Nf7 16. Qh5 Rg5 17. Qf3 Rdg8 18. Rg1 R5g7 19. b3 Ng5 20. Qf5 Qxf5 21. exf5 Bc5 22. Raf1 h5 23. h4 Nf7 24. c3 Nh6 25. Nf3 Bd6 26. Ng5 Nxf5 27. g3 Be7 28. Ne4 Rg4 29. Kh2 Nxh4 30. Kh3 Nf3 31. Rg2 h4 32. Rh1 hxg3 33. Rxg3 Rh4+ 34. Kg2 Rxg3+ 35. fxg3 Rxh1 36. Kxh1 Ng5 37. Nxg5 Bxg5 38. a4 Kd7 39. c4 Ke6 40. Kg2 Bd2 41. Kf3 Kf5 42. g4+ Kg5 43. Kg3 Bc3 44. Kf3 b5 45. Kg3 b4 46. Kf3 a5 47. Kg3 Bd2 48. Kf3 Kf6 49. Ke4 c5 50. Kf3 Kg5 51. Ke4 Bc3 52. Kf3 Kh4 53. Ke4 Kxg4 54. Kd5 Bd4 55. Kc6 Kf3 56. Kb5 Ke3 57. Kxa5 Kxd3 58. Kb5 e4 59. a5 e3 60. a6 e2 61. a7 e1=Q 62. a8=Q Qe7 63. Qc6 Qd6 64. Qf3+ Kc2 65. Qc6 Qxc6+ 66. Kxc6 Kxb3 67. Kxc7 Kxc4 68. Kc6 b3 69. Kd6 b2 70. Kc6 b1=Q 71. Kd6 Qb5 72. Ke6 Qc6+ 73. Kf5 Kd5 74. Kf4 Qf6+ 75. Kg4 Ke4 76. Kh5 Qg7 77. Kh4 Kf4 78. Kh5 Qg5# 0-1
 Blitz ,BABAYAGA1988,erupot,1-0,2016.06.30,22:00:06,1403,1118,4,-4,B30,Sicilian Defense: Old Sicilian,180+3,Normal,1. e4 c5 2. Nf3 Nc6 3. Nc3 d6 4. Bb5 Nf6 5. Bxc6+ bxc6 6. d4 cxd4 7. Nxd4 Bb7 8. O-O e5 9. Nf3 Be7 10. Re1 d5 11. exd5 cxd5 12. Nxe5 O-O 13. Nf3 Qb6 14. Rxe7 d4 15. Nxd4 Qxb2 16. Bxb2 Bxg2 17. Kxg2 Rfd8 18. Kh1 Ne8 19. Nc6 Rxd1+ 20. Rxd1 Rc8 21. Nxa7 Nd6 22. Rde1 Nf5 23. Re8+ Rxe8 24. Rxe8# 1-0
